@relation 'train_clean-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.047pixel_576+0.047pixel_516+0.047pixel_786+0.047pixel_544+0.046pixel_548... numeric
@attribute -0.05pixel_48-0.05pixel_16-0.05pixel_17-0.05pixel_18-0.05pixel_49... numeric
@attribute -0.09pixel_525-0.089pixel_526-0.088pixel_523-0.087pixel_524-0.086pixel_522... numeric
@attribute -0.083pixel_323-0.08pixel_291-0.077pixel_388-0.074pixel_259-0.074pixel_355... numeric
@attribute -0.114pixel_834-0.112pixel_802-0.108pixel_866+0.105pixel_230-0.105pixel_770... numeric
@attribute -0.105pixel_99-0.092pixel_935-0.09pixel_67-0.086pixel_131-0.086pixel_98... numeric
@attribute -0.142pixel_260-0.139pixel_228-0.137pixel_772-0.135pixel_292-0.13pixel_804... numeric
@attribute 0.122pixel_1023+0.111pixel_1022+0.109pixel_1020+0.108pixel_996+0.101pixel_1021... numeric
@attribute -0.131pixel_809-0.123pixel_840-0.119pixel_776-0.111pixel_777-0.11pixel_841... numeric
@attribute '0.106pixel_263+0.086pixel_411-0.085pixel_646+0.081pixel_443+0.08 pixel_314...' numeric
@attribute '-0.121pixel_231+0.11 pixel_808+0.105pixel_433-0.105pixel_806-0.101pixel_199...' numeric
@attribute 0.147pixel_401+0.115pixel_433+0.109pixel_498+0.102pixel_497+0.096pixel_530... numeric
@attribute -0.128pixel_166-0.121pixel_134-0.121pixel_71-0.113pixel_102-0.106pixel_198... numeric
@attribute -0.094pixel_629-0.092pixel_502-0.091pixel_604-0.089pixel_636-0.087pixel_791... numeric
@attribute -0.118pixel_520-0.111pixel_519-0.106pixel_552-0.104pixel_551+0.103pixel_1024... numeric
@attribute 0.121pixel_538+0.101pixel_872+0.101pixel_474+0.098pixel_506+0.097pixel_570... numeric
@attribute -0.124pixel_638-0.123pixel_670-0.103pixel_606-0.102pixel_702+0.099pixel_871... numeric
@attribute '-0.116pixel_426-0.112pixel_626+0.11 pixel_689-0.106pixel_427-0.104pixel_396...' numeric
@attribute -0.128pixel_403-0.119pixel_62-0.114pixel_281-0.11pixel_63-0.11pixel_29... numeric
@attribute 0.139pixel_433+0.121pixel_496+0.115pixel_464+0.107pixel_401+0.103pixel_659... numeric
@attribute -0.145pixel_1023-0.125pixel_1024-0.117pixel_990+0.114pixel_872-0.113pixel_992... numeric
@attribute -0.162pixel_295-0.13pixel_743-0.104pixel_297-0.103pixel_627-0.103pixel_872... numeric
@attribute 0.144pixel_403+0.126pixel_625+0.113pixel_690+0.105pixel_371-0.101pixel_337... numeric
@attribute 0.142pixel_409-0.126pixel_665-0.124pixel_697+0.119pixel_872-0.111pixel_464... numeric
@attribute -0.175pixel_337+0.114pixel_627-0.106pixel_338-0.104pixel_306+0.096pixel_563... numeric
@attribute '-0.12pixel_434+0.11 pixel_777-0.101pixel_338-0.1pixel_358-0.097pixel_729...' numeric
@attribute -0.136pixel_807-0.13pixel_1024-0.112pixel_457-0.102pixel_312+0.102pixel_391... numeric
@attribute -0.139pixel_560-0.128pixel_592+0.111pixel_690-0.109pixel_936-0.108pixel_378... numeric
@attribute '0.122pixel_402+0.12 pixel_312+0.118pixel_625+0.113pixel_370+0.111pixel_280...' numeric
@attribute 0.125pixel_401+0.119pixel_345-0.112pixel_625-0.101pixel_593+0.094pixel_594... numeric
@attribute '0.124pixel_648+0.123pixel_104+0.109pixel_556+0.101pixel_105+0.1  pixel_662...' numeric
@attribute -0.113pixel_625+0.107pixel_839-0.106pixel_166-0.1pixel_72-0.099pixel_690... numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
{0 4.092561,1 -6.846397,2 1.3544,3 3.81063,4 -2.027822,5 -0.64321,6 -0.65481,7 -0.374108,8 1.110805,9 -0.339031,10 -0.431772,11 0.667578,12 -0.073739,13 -1.019445,14 0.542307,15 0.172945,16 0.355028,17 -0.022964,18 0.131316,19 0.083028,20 0.062964,21 0.715686,22 -0.413915,23 0.696122,24 0.21921,25 0.353413,26 0.121631,27 -0.043214,28 0.657631,29 -0.034627,30 -0.181905,31 -0.309275,32 7}
{0 9.920167,1 5.417769,2 2.075798,3 1.587252,4 -2.197141,5 -1.226865,6 1.634142,7 -1.372977,8 1.808698,9 -0.350252,10 -0.064628,11 0.817035,12 -0.717503,13 0.725001,14 -1.261626,15 -0.837622,16 -0.345128,17 -0.156956,18 -0.403791,19 -0.577805,20 0.508465,21 0.641989,22 -0.132963,23 0.13704,24 0.545539,25 -0.769352,26 1.176926,27 0.080507,28 0.311649,29 -0.092075,30 0.360956,31 -0.355301,32 9}
{0 11.385539,1 1.80688,2 3.328649,3 1.21968,4 0.195092,5 -0.367463,6 0.936537,7 0.128005,8 0.832679,9 -1.843845,10 0.160985,11 0.717933,12 -0.145799,13 -0.832569,14 1.48354,15 -1.118214,16 -0.160682,17 -0.068571,18 -0.394965,19 0.274861,20 0.467337,21 1.402338,22 -0.083065,23 -0.570876,24 -0.381499,25 -0.1038,26 -0.25761,27 -0.912732,28 0.190326,29 0.227701,30 0.162131,31 0.39813,32 6}
{0 16.064836,1 -1.046387,2 -1.846674,3 1.917195,4 -1.579808,5 -0.570394,6 0.018276,7 -0.271591,8 -0.956209,9 0.202854,10 0.355073,11 0.955975,12 0.423958,13 0.565843,14 0.82512,15 -0.420137,16 0.019968,17 0.10025,18 1.14966,19 0.322073,20 -0.011573,21 0.131579,22 0.369433,23 -0.524751,24 -0.179787,25 0.005203,26 0.25383,27 -0.063352,28 -0.212448,29 0.167988,30 0.041321,31 0.016542,32 3}
{0 14.808906,1 -2.601571,2 -0.424571,3 2.556176,4 2.54198,5 -0.865254,6 -0.765575,7 -2.047426,8 1.683298,9 1.386351,10 0.472878,11 0.850855,12 -0.554646,13 -0.468595,14 0.938798,15 -0.045356,16 0.189776,17 -0.848148,18 -0.23322,19 -0.06394,20 -0.358518,21 -0.210922,22 -0.185915,23 0.392386,24 -0.020176,25 -0.281412,26 0.119012,27 0.11981,28 0.106678,29 0.405185,30 -0.211674,31 0.256613,32 5}
{0 5.895935,1 -7.287992,2 -3.993447,3 2.730934,4 -0.296249,5 -3.422069,6 0.73247,7 0.829942,8 1.706871,9 -1.185545,10 0.89615,11 3.024784,12 -0.735104,13 -0.955237,14 1.356423,15 0.320532,16 -0.101031,17 0.359316,18 0.416395,19 1.494683,20 -0.294845,21 0.736445,22 -0.120645,23 0.871036,24 -0.349365,25 -0.098645,26 0.329752,27 0.426862,28 0.155904,29 -0.124841,30 0.113972,31 0.509552,32 9}
{0 15.331301,1 -3.105254,2 2.77875,3 2.65716,4 0.365068,5 -0.934194,6 -1.689424,7 1.131889,8 0.719266,9 -1.985209,10 0.336704,11 0.788521,12 -0.053165,13 1.240335,14 0.306115,15 0.0184,16 -0.004395,17 0.171693,18 -0.44447,19 0.597231,20 -0.004995,21 0.215481,22 0.105478,23 0.299491,24 -0.415109,25 -0.168717,26 0.048164,27 0.049465,28 0.248265,29 0.149708,30 0.066976,31 -0.081208,32 2}
{0 10.684457,1 -2.726579,2 1.338958,3 0.587784,4 -2.023249,5 -0.966846,6 -0.537816,7 0.111962,8 0.857736,9 0.356798,10 0.25649,11 0.100622,12 -0.101053,13 -0.549394,14 -0.056231,15 0.511323,16 1.228562,17 0.405231,18 0.227882,19 0.759299,20 -0.174517,21 0.598787,22 -0.400102,23 -0.041644,24 -0.291401,25 -0.13075,26 0.972619,27 -0.258013,28 0.074479,29 -0.061568,30 0.443718,31 -0.175431,32 4}
{0 3.364336,1 -5.695973,2 1.949342,3 3.642493,4 -1.080717,5 0.527971,6 -0.633662,7 -1.396303,8 0.33359,9 -0.142853,10 1.429222,11 0.639183,12 -2.56602,13 -0.371531,14 0.250276,15 -0.524303,16 0.240399,17 1.228311,18 0.966602,19 0.212937,20 0.20167,21 -0.520065,22 0.3864,23 0.180116,24 -0.575423,25 -0.139974,26 0.262615,27 -0.435016,28 0.648702,29 -0.23298,30 -0.1114,31 0.064333,32 5}
{0 2.797817,1 -5.663389,2 -0.243904,3 4.096403,4 -2.20101,5 -2.302716,6 -0.177371,7 -1.525134,8 -0.118006,9 -0.257252,10 -0.896475,11 0.707393,12 0.772566,13 -0.061286,14 0.480615,15 -0.850788,16 0.217937,17 -0.647772,18 -0.226221,19 0.1782,20 -0.576327,21 0.062993,22 -0.90876,23 1.158761,24 -0.997465,25 -1.135523,26 0.090767,27 -1.085651,28 0.123362,29 -0.215102,30 0.688785,31 -0.258144,32 3}
{0 8.03463,1 -7.502175,2 -0.109809,3 3.275575,4 1.468911,5 -0.793559,6 -0.960891,7 -0.675243,8 0.741903,9 0.681454,10 2.131948,11 0.801614,12 -2.474198,13 -0.281797,14 1.113521,15 -0.686765,16 0.409522,17 -0.595523,18 0.440657,19 0.010039,20 0.012056,21 -0.088273,22 -0.397974,23 0.467734,24 -0.001174,25 -0.457669,26 0.280859,27 0.013181,28 0.162427,29 0.133066,30 0.349233,31 -0.370426,32 5}
{0 13.229366,1 1.881787,2 0.145241,3 0.523286,4 -1.667117,5 -1.193171,6 -0.431614,7 0.02285,8 1.364444,9 0.015872,10 0.112445,11 0.125306,12 -0.491408,13 -1.152041,14 -0.018659,15 -0.220025,16 0.235847,17 0.028826,18 0.253085,19 0.413425,20 -1.136787,21 0.001219,22 0.265109,23 -0.521863,24 -1.002556,25 -0.407274,26 0.417398,27 -0.004785,28 0.615228,29 0.051452,30 0.158211,31 0.000395,32 7}
{0 10.871079,1 -5.091917,2 -0.074886,3 1.435809,4 0.298967,5 0.212665,6 0.777212,7 0.344187,8 0.539431,9 -1.063494,10 -1.024014,11 0.133337,12 -0.345674,13 -0.461067,14 0.842545,15 0.033647,16 -0.187776,17 -0.188803,18 0.205158,19 0.279169,20 0.277897,21 0.237146,22 -0.236308,23 0.291399,24 -0.59971,25 -0.153592,26 0.408475,27 0.016113,28 -0.083334,29 -0.10239,30 0.174889,31 0.041695,32 6}
{0 12.229434,1 -5.475487,2 2.716478,3 0.806999,4 -1.130352,5 0.814542,6 1.336948,7 -0.100048,8 0.184373,9 0.168312,10 0.483211,11 1.676846,12 0.228542,13 -1.076627,14 0.173447,15 -1.777656,16 -0.644992,17 -0.38723,18 0.152725,19 0.284594,20 -0.580888,21 0.579288,22 -0.286326,23 -0.205831,24 -0.634364,25 0.23396,26 0.34439,27 0.581797,28 0.267822,29 -0.255642,30 -0.174063,31 -0.117047,32 10}
{0 11.471331,1 -1.182312,2 -2.743693,3 0.906664,4 -1.670631,5 -1.23692,6 -2.381715,7 0.755064,8 1.412184,9 -1.255378,10 0.618267,11 0.337274,12 0.064537,13 -1.050547,14 0.532481,15 -1.496018,16 -0.29919,17 -0.311375,18 0.412431,19 -0.448081,20 0.573746,21 0.074334,22 -0.144447,23 0.474505,24 -0.791961,25 0.030494,26 0.515676,27 0.218759,28 -0.085424,29 0.247729,30 0.173754,31 -0.03015,32 4}
{0 12.668994,1 -1.99243,2 -0.450436,3 0.753358,4 -2.239349,5 -1.233212,6 -1.290964,7 0.431139,8 1.167565,9 -0.189783,10 0.690085,11 0.275033,12 0.037796,13 -0.801411,14 0.240377,15 -0.564657,16 0.701094,17 0.168722,18 0.345055,19 0.179311,20 0.392454,21 0.295382,22 -0.473124,23 0.308516,24 -0.428112,25 -0.163362,26 1.056367,27 0.180213,28 -0.149179,29 0.092358,30 0.590606,31 -0.214649,32 4}
{0 1.851913,1 -4.672869,2 0.843228,3 3.953035,4 -2.174104,5 -0.568192,6 -0.104379,7 -1.917065,8 0.158668,9 -1.80031,10 -0.254345,11 1.353752,12 0.146154,13 -0.176541,14 0.669506,15 0.494463,16 0.169808,17 0.671885,18 0.33813,19 0.822736,20 -0.456184,21 -0.000431,22 -0.33249,23 -0.313,24 -0.39118,25 0.338287,26 0.611626,27 0.899188,28 0.336747,29 0.373571,30 0.135978,31 -0.011985,32 9}
{0 1.916741,1 -3.586728,2 -0.988946,3 2.752586,4 -1.208954,5 -2.567335,6 0.049909,7 -1.259865,8 -0.667938,9 -0.596145,10 -0.206306,11 0.43121,12 0.150912,13 -0.016574,14 0.864046,15 -0.930114,16 0.383156,17 -0.122154,18 -0.837279,19 0.341286,20 -0.247231,21 0.013482,22 -0.389418,23 0.462802,24 -0.781628,25 -0.85977,26 0.515792,27 -0.297859,28 0.187414,29 0.09561,30 0.316938,31 -0.03363,32 3}
{0 9.849955,1 3.661759,2 0.750459,3 1.08381,4 -1.927888,5 -0.133261,6 0.680213,7 -0.462106,8 1.316763,9 -0.889735,10 0.673731,11 1.232464,12 -0.207366,13 -1.096735,14 0.003682,15 -0.756543,16 0.899662,17 -0.264139,18 -0.449348,19 0.281489,20 0.355559,21 -0.359622,22 0.654761,23 0.564644,24 -0.051648,25 -0.380339,26 0.012807,27 -0.186326,28 -0.522749,29 -0.63244,30 -0.125997,31 -0.318157,32 8}
{0 7.369039,1 4.966691,2 -1.911477,3 2.894883,4 -2.117521,5 0.863969,6 -2.053941,7 0.2656,8 1.083347,9 -1.055128,10 -0.170277,11 0.358741,12 -0.363069,13 -1.35892,14 0.374474,15 -1.222591,16 -1.806724,17 -0.561904,18 0.04446,19 0.712863,20 -0.273628,21 -0.115396,22 0.05625,23 -0.360177,24 -0.438087,25 -0.346944,26 -0.003521,27 0.144385,28 0.27673,29 -0.301766,30 0.44696,31 -0.032115,32 7}
{0 11.357756,1 -4.633614,2 -0.420619,3 0.467303,4 -1.081235,5 -1.017993,6 -0.647215,7 -0.494004,8 0.044664,9 0.471281,10 -1.284503,11 1.062503,12 -0.758355,13 -0.124801,14 0.102765,15 -0.540917,16 -0.27232,17 0.23104,18 -0.353424,19 0.576422,20 0.307675,21 0.416835,22 -0.206673,23 0.030246,24 -0.283696,25 -0.255872,26 -0.007518,27 0.143984,28 0.266914,29 -0.382605,30 0.191112,31 -0.188119}
{0 5.831519,1 -7.982074,2 1.940103,3 2.684987,4 -2.075651,5 0.287805,6 -0.942268,7 0.218766,8 0.629949,9 0.964758,10 -1.198178,11 1.406242,12 0.373918,13 0.26979,14 0.143152,15 -0.719046,16 -0.117109,17 -0.33356,18 1.517599,19 1.090082,20 -0.03638,21 0.282638,22 0.239109,23 1.19617,24 0.129989,25 -1.418045,26 0.424416,27 -0.360609,28 0.491291,29 -0.382332,30 0.182109,31 0.319301,32 3}
{0 11.203826,1 6.374311,2 2.74436,3 2.95607,4 0.037824,5 -2.452891,6 0.145034,7 -1.45959,8 1.253693,9 0.55676,10 -0.055733,11 -0.344477,12 1.107199,13 -0.653474,14 -0.935275,15 0.178939,16 -1.153959,17 0.386264,18 0.413815,19 0.961061,20 0.926263,21 0.25914,22 0.846646,23 0.313248,24 -0.853243,25 0.160507,26 0.974484,27 0.133792,28 0.877428,29 0.163168,30 -0.027415,31 -0.037228,32 5}
{0 9.880847,1 -5.450406,2 -2.086886,3 0.791346,4 -1.46331,5 -1.44457,6 -2.025296,7 1.038337,8 1.257664,9 -0.539558,10 0.631053,11 0.669941,12 0.174686,13 -0.998562,14 0.500352,15 -1.311847,16 0.170574,17 -0.164951,18 0.260645,19 -0.408418,20 0.836583,21 0.420984,22 -0.080711,23 0.790715,24 -0.678379,25 0.015385,26 0.495792,27 0.079088,28 -0.098148,29 0.169632,30 0.041199,31 0.158222,32 4}
{0 1.276663,1 -1.322026,2 -0.792417,3 1.100869,4 -0.63547,5 -1.435884,6 0.012273,7 -0.63292,8 -0.700315,9 -0.611415,10 -0.063689,11 0.472402,12 -0.102948,13 -0.179346,14 0.492662,15 -0.501761,16 0.357966,17 0.219593,18 -0.339917,19 0.68522,20 -0.104125,21 0.130944,22 -0.054577,23 -0.112322,24 -0.317932,25 -0.39057,26 0.756641,27 0.237014,28 0.117336,29 -0.290192,30 -0.076955,31 -0.280191,32 3}
{0 12.01222,1 -1.403389,2 0.283716,3 0.699188,4 -2.128242,5 -1.265445,6 -1.092572,7 0.214353,8 0.967401,9 -0.032945,10 0.338146,11 0.183771,12 -0.110163,13 -0.723958,14 0.187709,15 -0.006028,16 0.859342,17 0.265123,18 0.409873,19 0.458894,20 -0.005516,21 0.392207,22 -0.214293,23 -0.027309,24 -0.415138,25 -0.138326,26 0.977497,27 -0.076986,28 0.040883,29 0.10326,30 0.507269,31 -0.18016,32 4}
{0 17.94079,1 6.694618,2 -2.369665,3 3.834641,4 -2.839536,5 0.469106,6 1.145224,7 -0.737775,8 0.004518,9 -1.094296,10 1.218063,11 -0.513619,12 -0.361898,13 -0.028111,14 0.314248,15 -0.582441,16 0.328025,17 1.211647,18 -0.212424,19 -0.017852,20 -0.462532,21 0.800771,22 -0.321695,23 0.691625,24 0.175411,25 -0.055281,26 -0.034303,27 0.2132,28 0.10977,29 0.298966,30 0.579655,31 -0.571163,32 10}
{0 8.997946,1 6.412662,2 -2.347783,3 3.870263,4 -2.013273,5 1.5671,6 0.112585,7 -0.876361,8 0.944993,9 -0.719858,10 0.002269,11 0.828156,12 -0.125156,13 -0.270671,14 -0.294954,15 -0.268721,16 1.511808,17 -0.388995,18 0.106019,19 0.30002,20 0.520297,21 0.317991,22 0.852769,23 0.453334,24 -0.647844,25 -0.655844,26 -0.030041,27 0.075623,28 0.417339,29 -0.190163,30 0.663105,31 -0.181137,32 8}
{0 12.334573,1 0.173155,2 -1.59275,3 1.042201,4 -1.582471,5 0.082617,6 1.227349,7 -0.070626,8 1.085042,9 -0.727691,10 0.506288,11 1.399876,12 0.165759,13 -0.508769,14 -0.074525,15 -0.581223,16 0.972011,17 0.256034,18 -0.260543,19 0.870984,20 0.603122,21 -1.038806,22 0.29574,23 0.248728,24 -0.475535,25 -0.14244,26 -0.191606,27 -0.180728,28 0.008102,29 -0.134757,30 0.179872,31 -0.323081,32 8}
{0 1.515828,1 1.987335,2 0.660596,3 1.792199,4 -0.846094,5 -0.706812,6 0.330605,7 1.959101,8 0.149551,9 1.013709,10 -0.414765,11 0.91978,12 -0.938074,13 0.341701,14 0.713335,15 -0.014003,16 0.471356,17 -0.222153,18 -0.051656,19 0.104761,20 -0.164125,21 0.1053,22 -0.221676,23 0.338377,24 -0.72337,25 0.677505,26 0.465335,27 -0.140917,28 -0.004388,29 0.378202,30 0.065023,31 -0.115515}
{0 12.015141,1 -1.926386,2 2.286424,3 -0.156355,4 -0.992808,5 -0.565866,6 -0.282366,7 -0.349233,8 -0.743537,9 0.068512,10 -0.876848,11 1.917811,12 -0.665052,13 -0.362365,14 -0.015862,15 -0.582883,16 -0.590986,17 0.243785,18 -0.203376,19 0.645392,20 -0.005094,21 0.888563,22 -0.350801,23 0.049871,24 -0.34922,25 -0.742329,26 0.762488,27 -0.230767,28 -0.000757,29 -0.022643,30 -0.134529,31 -0.701395}
